,codigo,fec_nac,sexo,edo_civ,depto,fec_ing,fec_baj,jorn,puesto,cp,label,antig
221,7614,1983-09-14,MASCULINO,SOLTERO,03,2018-03-01,,1,0018,01630,1,616
222,3318,1963-01-08,MASCULINO,CASADO,81,2008-11-24,,1,0183,54935,1,4000
224,7804,1992-11-29,MASCULINO,CASADO,37,2018-11-13,,1,0186,54944,1,359
227,6083,1981-05-05,MASCULINO,SOLTERO,51,2015-01-13,,1,0003B,54938,1,1759
228,8118,1980-10-17,MASCULINO,CASADO,56,2019-09-09,,1,0001,11820,1,59
229,6766,1962-03-19,FEMENINO,SOLTERO,03,2016-01-11,,1,0014A,01220,1,1396
232,8084,1981-02-15,FEMENINO,SOLTERO,81,2019-08-08,,1,0001,54189,1,91
235,4137,1979-06-24,MASCULINO,SOLTERO,06,2010-11-16,,1,169,54180,1,3278
236,8170,1983-06-24,MASCULINO,SOLTERO,50,2019-10-24,,1,0001,02900,1,14
237,8009,1998-05-08,MASCULINO,SOLTERO,83,2019-06-06,,1,0001,54090,1,154
240,7542,1964-10-23,FEMENINO,SOLTERO,57,2017-11-08,,1,0002A,55400,1,729
243,8150,1971-05-02,FEMENINO,CASADO,79,2019-10-09,,1,0017,53697,1,29
246,3780,1963-06-19,FEMENINO,SOLTERO,05,2010-02-05,,1,0019A,55200,1,3562
250,6205,1995-10-02,MASCULINO,SOLTERO,87,2015-03-17,,1,0003B,50290,1,1696
251,5027,1970-01-09,MASCULINO,SOLTERO,82,2012-06-23,,1,0003A,55416,1,2693
255,7818,1975-05-19,FEMENINO,CASADO,83,2018-12-04,,1,0003A,54474,1,338
257,7221,1997-03-12,FEMENINO,SOLTERO,80,2019-05-22,,1,0001,52918,1,169
258,7815,1994-11-19,FEMENINO,SOLTERO,25,2018-11-28,,1,0001,56613,1,344
263,6839,1966-04-21,FEMENINO,SOLTERO,75,2016-03-07,,1,0002A,07089,1,1340
264,5646,1963-11-06,MASCULINO,SOLTERO,51,2013-11-04,,1,0002A,07969,1,2194
267,8164,1996-03-21,FEMENINO,SOLTERO,72,2019-10-21,,1,0001,56440,1,17
268,8011,1984-03-18,FEMENINO,CASADO,52,2019-06-07,,1,0017,56610,1,153
269,7708,1984-05-01,FEMENINO,SOLTERO,60,2018-07-04,,1,0002A,55065,1,491
273,7869,1968-01-06,FEMENINO,SOLTERO,87,2019-01-28,,1,0003B,50285,1,283
278,7973,1975-12-15,FEMENINO,SOLTERO,81,2019-04-30,,1,0001,07430,1,191
281,8012,1978-02-19,FEMENINO,SOLTERO,45,2019-06-07,,1,0001,57200,1,153
283,8166,1983-03-24,FEMENINO,CASADO,81,2019-10-21,,1,0001,07469,1,17
285,7530,1984-01-10,FEMENINO,SOLTERO,05,2017-10-18,,1,0002A,57710,1,750
286,8151,1997-02-28,MASCULINO,SOLTERO,50,2019-10-09,,1,0001,07090,1,29
287,8124,1988-03-19,MASCULINO,SOLTERO,50,2019-09-18,,1,0001,07820,1,50
288,8077,1994-10-30,MASCULINO,SOLTERO,05,2019-08-05,,1,0001,09860,1,94
289,8076,1994-12-16,MASCULINO,SOLTERO,81,2019-08-07,,1,0017,07550,1,92
292,6028,1965-05-08,MASCULINO,SOLTERO,11,2014-12-02,,1,0176,02530,1,1801
294,6565,1986-03-14,MASCULINO,SOLTERO,52,2015-09-15,,1,0002A,13300,1,1514
297,3676,1961-07-17,FEMENINO,DIVORCIADO,80,2009-10-13,,1,0017A,52928,1,3677
299,8165,1996-02-20,MASCULINO,SOLTERO,81,2019-10-22,,1,0001,55390,1,16
300,3221,1965-10-12,MASCULINO,CASADO,11,2018-06-18,,1,0177,09310,1,507
302,7779,1969-01-16,FEMENINO,CASADO,52,2018-10-05,,1,0014,09290,1,398
304,7942,1966-01-16,FEMENINO,CASADO,88,2019-04-04,,1,0001,53580,1,217
310,7845,1998-10-31,MASCULINO,SOLTERO,54,2019-01-09,,1,0003A,54963,1,302
314,7996,1974-03-06,FEMENINO,SOLTERO,50,2019-05-27,,1,0001,02600,1,164
315,2522,1952-05-19,FEMENINO,SOLTERO,45,2013-03-21,,1,0002A,56335,1,2422
319,8125,1987-05-12,FEMENINO,CASADO,59,2019-09-19,,1,0001,56208,1,49
322,8154,1993-10-02,FEMENINO,SOLTERO,52,2019-10-16,,1,0001,09700,1,22
323,7080,1970-08-02,FEMENINO,SOLTERO,87,2016-09-05,,1,0018A,50285,1,1158
324,5965,1967-03-13,FEMENINO,SOLTERO,72,2015-06-25,,1,0015A,56560,1,1596
325,5447,1965-06-19,FEMENINO,SOLTERO,83,2013-05-20,,1,0003A,55280,1,2362
330,6685,1965-06-15,FEMENINO,SOLTERO,73,2015-11-17,,1,0002A,56530,1,1451
333,8056,1979-03-20,FEMENINO,CASADO,56,2019-07-15,,1,0017,51726,1,115
334,5549,1963-07-17,FEMENINO,SOLTERO,45,2013-08-12,,1,0002A,15530,1,2278
335,8117,1976-07-16,FEMENINO,CASADO,37,2019-09-09,,1,0001,02230,1,59
339,0854,1964-11-16,FEMENINO,SOLTERO,05,2012-02-03,,1,0020A,09700,1,2834
340,7295,1974-06-21,FEMENINO,CASADO,57,2017-02-27,,1,0002A,55507,1,983
344,8133,1998-08-05,FEMENINO,SOLTERO,52,2019-09-25,,1,0001,09760,1,43
346,4807,1956-09-21,FEMENINO,CASADO,06,2012-03-01,,1,0028,54744,1,2807
350,8160,1994-12-10,FEMENINO,SOLTERO,73,2019-10-18,,1,0001,56535,1,20
354,8153,1987-09-06,FEMENINO,SOLTERO,54,2019-10-11,,1,0001,54964,1,27
355,3169,1956-06-30,FEMENINO,SOLTERO,76,2008-08-29,,1,0002A,56563,1,4087
358,4514,1961-09-02,FEMENINO,CASADO,54,2011-09-12,,1,0017A,55717,1,2978
360,7814,1977-12-11,FEMENINO,SOLTERO,81,2018-11-26,,1,0003A,52949,1,346
362,7754,1966-06-09,FEMENINO,VIUDO,61,2019-01-22,,1,0002B,52918,1,289
364,6014,1968-07-28,FEMENINO,SOLTERO,75,2014-11-18,,1,0017A,09300,1,1815
367,8159,1981-08-11,FEMENINO,CASADO,56,2019-10-16,,1,0001,01139,1,22
373,3827,1980-08-17,MASCULINO,SOLTERO,05,2010-04-06,,1,0003B,08400,1,3502
375,8103,1980-07-20,FEMENINO,SOLTERO,79,2019-08-26,,1,0001,53688,1,73
376,8054,2019-05-16,MASCULINO,SOLTERO,81,2019-07-15,,1,0001,02125,1,115
378,5412,1975-08-15,FEMENINO,SOLTERO,03,2014-12-08,,1,0002A,01800,1,1795
382,7395,1994-08-09,FEMENINO,SOLTERO,87,2017-06-12,,1,0003B,50039,1,878
383,0214,1974-07-21,FEMENINO,SOLTERO,06,2017-01-02,,1,0024,57750,1,1039
384,7849,1971-07-22,FEMENINO,SOLTERO,74,2019-01-10,,1,0001,16797,1,301
386,5232,1964-02-24,FEMENINO,SOLTERO,50,2016-01-12,,1,0019A,07100,1,1395
387,8019,1998-06-09,FEMENINO,SOLTERO,04,2019-06-13,,1,0001,54945,1,147
388,4958,1965-06-12,FEMENINO,SOLTERO,57,2012-05-24,,1,0002A,55520,1,2723
390,3979,1976-05-14,MASCULINO,CASADO,06,2010-07-26,,1,0027,09760,1,3391
393,0442,1967-06-21,MASCULINO,SOLTERO,05,1999-01-14,,1,0174,54170,1,7602
396,8134,2001-04-16,FEMENINO,SOLTERO,52,2019-09-25,,1,0001,09910,1,43
398,7330,1969-09-29,MASCULINO,SOLTERO,05,2017-03-28,,1,0015,56383,1,954
400,8101,1966-06-03,FEMENINO,SOLTERO,05,2019-08-26,,1,0001,09220,1,73
409,7846,1992-06-08,FEMENINO,SOLTERO,54,2019-01-09,,1,0003A,54803,1,302
411,8091,1974-10-05,FEMENINO,CASADO,04,2019-08-15,,1,0001,54475,1,84
412,8167,1989-06-24,FEMENINO,SOLTERO,51,2019-10-23,,1,0001,07510,1,15
423,8131,1998-08-01,MASCULINO,CASADO,50,2019-09-24,,1,0001,07310,1,44
425,8157,1973-06-28,FEMENINO,SOLTERO,05,2019-10-14,,1,0001,15520,1,24
426,7298,1988-06-14,FEMENINO,SOLTERO,74,2017-03-06,,1,0184,13310,1,976
429,7963,1975-09-03,FEMENINO,SOLTERO,73,2019-04-22,,1,0001,56589,1,199
430,5396,1971-06-05,FEMENINO,SOLTERO,76,2014-07-03,,1,0002A,56516,1,1953
435,7989,1987-06-05,MASCULINO,SOLTERO,81,2019-05-17,,1,0001,02125,1,174
441,6203,1967-01-24,FEMENINO,SOLTERO,87,2015-12-14,,1,0003B,50010,1,1424
445,7226,1965-03-15,FEMENINO,SOLTERO,82,2017-01-13,,1,0003A,54960,1,1028
450,7885,1989-10-24,MASCULINO,SOLTERO,76,2019-02-12,,1,0001,56607,1,268
451,3326,1968-10-24,FEMENINO,CASADO,57,2017-06-21,,1,0019A,07420,1,869
453,0449,1970-05-31,MASCULINO,SOLTERO,05,1989-12-13,,1,0003A,06820,1,10921
455,6934,1960-11-21,FEMENINO,SOLTERO,06,2016-05-02,,1,470,07500,1,1284
457,7137,1976-02-12,MASCULINO,SOLTERO,50,2016-10-19,,1,0018A,54193,1,1114
461,6682,1996-12-07,MASCULINO,SOLTERO,06,2017-02-13,,1,0001,15730,1,997
463,1269,1967-10-13,MASCULINO,SOLTERO,03,2000-05-18,,1,0002A,09100,1,7112
466,7890,1959-09-10,FEMENINO,SOLTERO,50,2019-02-14,,1,0001,02630,1,266
467,8031,1980-07-04,FEMENINO,SOLTERO,76,2019-06-26,,1,0001,56625,1,134
471,1419,1980-10-31,FEMENINO,SOLTERO,51,2015-07-28,,1,0020A,02600,1,1563
473,8067,1999-10-23,MASCULINO,SOLTERO,51,2019-07-22,,1,0001,07070,1,108
477,8169,1983-03-07,FEMENINO,SOLTERO,79,2019-10-25,,1,0001,53770,1,13
483,3525,1965-05-04,FEMENINO,SOLTERO,68,2017-08-14,,1,0014A,08770,1,815
485,8036,1979-02-10,FEMENINO,SOLTERO,52,2019-06-27,,1,0001,56614,1,133
488,6885,1969-03-05,FEMENINO,SOLTERO,52,2016-04-01,,1,0002A,09760,1,1315
491,7907,1991-08-06,FEMENINO,SOLTERO,76,2019-03-04,,1,0185,56566,1,248
493,8146,1967-02-26,FEMENINO,SOLTERO,76,2019-10-03,,1,0001,56680,1,35
494,4775,1966-02-08,FEMENINO,SOLTERO,74,2012-02-21,,1,0002A,08730,1,2816
495,8069,1991-03-31,FEMENINO,SOLTERO,45,2019-07-26,,1,0044A,55280,1,104
498,4832,1975-12-04,FEMENINO,SOLTERO,59,2014-10-06,,1,0002A,56270,1,1858
501,3321,1965-02-12,MASCULINO,CASADO,04,2010-09-07,,1,0103,54942,1,3348
504,0624,1966-09-09,FEMENINO,SOLTERO,83,1996-01-25,,1,0035,11430,1,8687
506,4385,1973-01-31,FEMENINO,SOLTERO,81,2011-06-02,,1,0018A,53716,1,3080
507,8135,1963-04-10,FEMENINO,VIUDO,83,2019-09-25,,1,0001,54948,1,43
513,0366,1969-03-21,FEMENINO,CASADO,06,2011-10-17,,1,0025,10580,1,2943
517,6206,1972-02-09,FEMENINO,SOLTERO,73,2015-03-18,,1,0015A,56600,1,1695
521,7618,1992-12-25,FEMENINO,SOLTERO,05,2018-03-06,,1,0002A,56334,1,611
524,7840,1985-12-30,FEMENINO,SOLTERO,87,2018-12-27,,1,0185,50290,1,315
525,7505,1989-09-30,MASCULINO,SOLTERO,82,2017-09-19,,1,0003A,54948,1,779
529,6600,1973-02-08,FEMENINO,SOLTERO,80,2015-10-01,,1,0001,07460,1,1498
531,7685,1995-11-23,FEMENINO,SOLTERO,76,2018-06-08,,1,0001,56617,1,517
532,7331,1977-04-02,FEMENINO,CASADO,45,2018-09-04,,1,0001,08100,1,429
533,5933,1962-08-06,FEMENINO,SOLTERO,51,2014-09-01,,1,0001,07600,1,1893
534,7170,1978-05-09,FEMENINO,SOLTERO,57,2016-11-17,,1,0001,55055,1,1085
535,7774,1995-12-07,FEMENINO,CASADO,86,2018-09-27,,1,0001,50200,1,406
536,5618,1991-08-04,MASCULINO,CASADO,83,2018-01-18,,1,0003A,54932,1,658
537,5201,1974-01-30,FEMENINO,SOLTERO,82,2018-06-11,,1,0019,54803,1,514
539,3890,1972-05-29,FEMENINO,SOLTERO,06,2010-05-24,,1,0175,56570,1,3454
540,7834,1973-10-25,FEMENINO,SOLTERO,54,2018-12-12,,1,0003A,54948,1,330
543,6654,1970-09-26,MASCULINO,SOLTERO,50,2018-07-02,,1,0014,07969,1,493
544,3652,1963-01-23,MASCULINO,CASADO,51,2016-09-12,,1,516,55390,1,1151
547,1123,1962-06-16,FEMENINO,SOLTERO,59,2006-01-02,,1,0181,56495,1,5057
548,4044,1967-10-28,FEMENINO,CASADO,50,2018-09-10,,1,0018,55139,1,423
549,7593,1988-10-07,FEMENINO,SOLTERO,45,2018-02-02,,1,0001,07990,1,643
565,7259,1966-05-26,FEMENINO,SOLTERO,81,2017-02-08,,1,0001,02230,1,1002
567,7312,1972-06-28,FEMENINO,CASADO,85,2017-03-09,,1,0003B,50010,1,973
568,7338,1965-09-29,FEMENINO,SOLTERO,82,2017-03-31,,1,0003A,54930,1,951
572,5677,1983-10-24,FEMENINO,SOLTERO,87,2013-12-21,,1,0015,50290,1,2147
573,7737,1963-05-04,FEMENINO,SOLTERO,87,2018-08-16,,1,0001,50290,1,448
578,6210,1967-07-18,MASCULINO,SOLTERO,07,2015-03-20,,1,0001,09800,1,1693
580,6213,1970-02-28,MASCULINO,SOLTERO,83,2018-10-16,,1,0003A,54030,1,387
584,7812,1974-03-04,FEMENINO,CASADO,66,2018-11-21,,1,0001,50220,1,351
585,0849,1958-11-30,FEMENINO,SOLTERO,04,1997-03-05,,1,0037,11280,1,8282
587,7536,1997-07-02,FEMENINO,SOLTERO,74,2017-10-26,,1,0001,01100,1,742
591,7430,1986-04-30,FEMENINO,CASADO,85,2017-07-04,,1,0030A,50260,1,856
593,5181,1970-02-02,FEMENINO,SOLTERO,60,2012-09-13,,1,0001,55067,1,2611
594,7827,1991-12-26,FEMENINO,SOLTERO,07,2018-12-10,,1,0001,08020,1,332
595,7655,1977-10-22,MASCULINO,SOLTERO,74,2018-04-26,,1,0001,08000,1,560
597,7057,1973-04-30,FEMENINO,SOLTERO,81,2016-08-18,,1,0001,54140,1,1176
600,5558,1972-04-30,FEMENINO,SOLTERO,82,2013-08-22,,1,0003A,52928,1,2268
602,4746,1973-04-09,FEMENINO,SOLTERO,37,2017-05-23,,1,0017,42995,1,898
606,7663,1983-10-18,MASCULINO,CASADO,08,2018-05-10,,1,0001,57940,1,546
609,7407,1986-08-06,FEMENINO,SOLTERO,68,2017-06-20,,1,0001,08500,1,870
610,7828,1987-03-30,FEMENINO,CASADO,86,2018-12-10,,1,0003B,50295,1,332
615,7837,1975-10-30,FEMENINO,SOLTERO,50,2018-12-19,,1,0001,07290,1,323
618,7773,1981-12-24,FEMENINO,SOLTERO,86,2018-09-27,,1,0001,50295,1,406
620,7839,1988-07-02,FEMENINO,SOLTERO,52,2018-12-22,,1,0175,57740,1,320
623,1424,1971-12-18,MASCULINO,SOLTERO,50,2009-07-20,,1,0009,11290,1,3762
624,5280,1975-01-03,MASCULINO,SOLTERO,81,2016-04-05,,1,0023,07420,1,1311
625,7742,1995-11-13,MASCULINO,SOLTERO,81,2018-08-21,,1,0001,07920,1,443
627,7740,1997-06-12,MASCULINO,SOLTERO,05,2018-08-20,,1,0001,04960,1,444
632,6461,1977-12-12,MASCULINO,SOLTERO,11,2015-09-23,,1,0176,56607,1,1506
633,6765,1986-11-05,MASCULINO,SOLTERO,87,2016-01-08,,1,0181,56680,1,1399
635,7694,1992-03-04,FEMENINO,SOLTERO,50,2018-06-17,,1,0001,07210,1,508
639,7752,1995-07-08,FEMENINO,SOLTERO,50,2018-09-05,,1,0001,54190,1,428
641,6657,1978-10-15,FEMENINO,SOLTERO,85,2018-11-02,,1,0003B,50290,1,370
643,5000,1975-01-17,FEMENINO,SOLTERO,60,2012-06-07,,1,0178,55500,1,2709
647,5644,1968-10-23,MASCULINO,SOLTERO,11,2013-11-04,,1,0176,07560,1,2194
649,6638,1978-12-02,FEMENINO,SOLTERO,51,2018-05-09,,1,0001,07249,1,547
653,7800,1977-02-24,FEMENINO,SOLTERO,87,2018-11-02,,1,0001,50200,1,370
655,6690,1975-03-28,FEMENINO,SOLTERO,80,2015-11-20,,1,0001,07089,1,1448
659,7168,1979-05-30,FEMENINO,SOLTERO,51,2016-11-14,,1,0001,07770,1,1088
664,7786,1991-11-29,MASCULINO,SOLTERO,81,2018-10-15,,1,0001,02480,1,388
672,4314,1990-09-28,FEMENINO,SOLTERO,05,2011-04-06,,1,0173,16600,1,3137
675,3160,1965-11-20,FEMENINO,SOLTERO,74,2018-09-27,,1,0001,04650,1,406
682,7632,1975-06-04,FEMENINO,CASADO,05,2018-03-21,,1,0001,56335,1,596
690,6504,1966-09-22,FEMENINO,SOLTERO,76,2015-08-18,,1,0001,56589,1,1542
700,7801,1988-10-14,MASCULINO,SOLTERO,79,2018-11-08,,1,0001,53427,1,364
702,7604,1979-06-19,FEMENINO,CASADO,52,2018-02-22,,1,0001,13270,1,623
705,7061,1974-03-28,FEMENINO,SOLTERO,61,2018-06-19,,1,0001,54409,1,506
707,7805,1972-01-04,FEMENINO,SOLTERO,50,2018-11-13,,1,0016,54920,1,359
719,7633,1981-04-05,FEMENINO,SOLTERO,25,2018-03-23,,1,0001,09140,1,594
725,7428,1994-05-31,FEMENINO,SOLTERO,72,2017-07-06,,1,0001,56530,1,854
727,7835,1988-09-17,FEMENINO,CASADO,86,2018-12-17,,1,0003B,52104,1,325
730,2897,1959-10-29,FEMENINO,CASADO,81,2017-01-13,,1,0001,07550,1,1028
731,7811,1994-02-23,MASCULINO,SOLTERO,86,2018-11-21,,1,0001,50180,1,351
735,7558,1974-05-11,MASCULINO,SOLTERO,05,2017-12-07,,1,0001,03400,1,700
736,6360,1958-09-18,MASCULINO,SOLTERO,52,2018-10-09,,1,0001,09760,1,394
740,7614,1983-09-14,MASCULINO,SOLTERO,03,2018-03-01,,1,0014,01630,1,616
741,3318,1963-01-08,MASCULINO,CASADO,81,2008-11-24,,1,0183,54935,1,4000
742,7706,1981-10-28,MASCULINO,SOLTERO,86,2018-06-26,,1,0001,50040,1,499
743,7804,1992-11-29,MASCULINO,CASADO,37,2018-11-13,,1,0186,54944,1,359
744,5139,1982-12-26,MASCULINO,SOLTERO,76,2015-06-02,,1,486,56644,1,1619
746,6083,1981-05-05,MASCULINO,SOLTERO,51,2015-01-13,,1,0002,54938,1,1759
749,6766,1962-03-19,FEMENINO,SOLTERO,03,2016-01-11,,1,0178,01220,1,1396
750,4137,1979-06-24,MASCULINO,SOLTERO,06,2010-11-16,,1,169,54180,1,3278
752,7819,1991-06-06,MASCULINO,SOLTERO,80,2018-12-03,,1,0001,55519,1,339
753,7542,1964-10-23,FEMENINO,SOLTERO,57,2017-11-08,,1,0001,55400,1,729
754,7756,1995-11-23,FEMENINO,SOLTERO,87,2018-12-17,,1,0001,50295,1,325
757,7759,1995-11-13,FEMENINO,SOLTERO,56,2018-09-11,,1,0001,01377,1,422
758,3780,1963-06-19,FEMENINO,SOLTERO,05,2010-02-05,,1,0019,55200,1,3562
762,6205,1995-10-02,MASCULINO,SOLTERO,85,2015-03-17,,1,0003B,50290,1,1696
763,5027,1970-01-09,MASCULINO,SOLTERO,82,2012-06-23,,1,0003A,55416,1,2693
765,7791,1992-03-25,FEMENINO,SOLTERO,45,2018-10-24,,1,0001,56516,1,379
768,7818,1975-05-19,FEMENINO,CASADO,83,2018-12-04,,1,0003A,54474,1,338
769,7815,1994-11-19,FEMENINO,SOLTERO,25,2018-11-28,,1,0001,56613,1,344
771,7838,1966-10-19,FEMENINO,SOLTERO,54,2018-12-21,,1,0003A,54745,1,321
772,7798,1977-12-19,FEMENINO,SOLTERO,50,2018-10-29,,1,0019,55120,1,374
773,6839,1966-04-21,FEMENINO,SOLTERO,75,2016-03-07,,1,0001,07089,1,1340
